name,latitude,longitude,nearest_road,vehicle_count,distance,traffic_level,recommended_action
Ambulance Parking,52.48442184509026,-1.8960523721110585,A4400,16389,0.0015201651321993129,Medium,Monitor
Mason Car Park,52.46085650441265,-1.926378472812461,C,15322,0.0026433394454265955,Medium,Monitor
Molecular Sciences Car Park,52.451862177638006,-1.9341859496842508,A38,27942,0.008229351219589268,High,Redirect Overflow
Star Cars and Coaches Private Car Park,52.53335555028764,-1.829552655578536,A452,23517,0.005485611750175034,Medium,Monitor
Fairways Physiotherapy Clinic Car Park,52.47741653024293,-1.8084360074040529,A4040,16941,0.004595566779421789,Medium,Monitor
Pay & Display Car Park,52.40806903293701,-1.9296827246425168,A441,20995,0.001994545133293244,Medium,Monitor
Digbeth Court pay & display,52.47459092827904,-1.882065054737456,U,3525,0.006520278935261668,Low,No Immediate Action
BVGS Parking,52.569583729055424,-1.8199553821191192,A5127,15947,0.0034341894369673436,Medium,Monitor
Astroturf Parking,52.57000433621894,-1.818401238558704,A5127,15947,0.005003859293152956,Medium,Monitor
BCS Car Park,52.46093186657424,-1.9401482373310903,B4124,14860,0.001968127617012392,Medium,Monitor
Drop-Off Zone,52.46096548055194,-1.941584799593101,B4124,14860,0.002807530864736354,Medium,Monitor
Staff Car Park,52.46074010018009,-1.9386829927070532,B4124,14860,0.002156746731423706,Medium,Monitor
St Phillips Parking,52.46112597893415,-1.9419597424122697,B4124,14860,0.0030146424783447402,Medium,Monitor
Nursery Parking,52.46001171439756,-1.938646057624245,B4124,14860,0.0028612258868851545,Medium,Monitor
Nursery Parking,52.45961957384016,-1.9386483629720304,B4124,14860,0.003239627296281943,Medium,Monitor
South Gate Car Park,52.44768385282856,-1.9283756403834469,A38,27942,0.0011057090562494082,High,Redirect Overflow
University of Birmingham Sport and Fitness Car Park,52.4485729209772,-1.927025083781792,A38,27942,0.001317294004026669,High,Redirect Overflow
Car Parking Spaces,52.51025656240223,-1.8587567705025376,A5127,6039,0.0012253243343612618,Low,No Immediate Action
Dudley Street Car Park,52.47629310226138,-1.8970418253635024,U,2423,0.0010483180398213117,Low,No Immediate Action
Edgbaston Street Car Park,52.4759464936509,-1.8953889326607516,U,2423,0.0015728526077568885,Low,No Immediate Action
Navigation Street Car Park,52.47764917279212,-1.9037313122929815,A38,66762,0.003494723812024137,Very High,Infrastructure Expansion
Quadrant Court Car Park,52.47039573804193,-1.9207295312830297,U,1239,0.0035880339781037564,Low,No Immediate Action
EV North,52.47038232467812,-1.921495605893814,U,1239,0.004351984778788114,Low,No Immediate Action
Amo Parking,52.44340599072032,-1.837342238157354,A4040,23889,0.007528877164801405,Medium,Monitor
Newman Close Car Park,52.43434073230253,-1.996705134699349,B4121,16286,0.020320189499836064,Medium,Monitor
North Car Park,52.45272022136824,-1.9320371478530864,A38,27942,0.007176203158046674,High,Redirect Overflow
Drop-off and pick-up,52.4490922603028,-1.8462691022589035,A41,25424,0.008896686147526794,High,Redirect Overflow
Jubilee Business Center,52.47284651105896,-1.894028446453292,U,2423,0.004910083232137522,Low,No Immediate Action
Boltz,52.47108522242495,-1.8945395924432256,A38,49151,0.005762370588835685,Very High,Infrastructure Expansion
National Probation Service,52.47243629719278,-1.8958163466072029,A38,49151,0.004042442585270452,Very High,Infrastructure Expansion
Kent St Car Park,52.47148385828,-1.8972889559046424,A38,49151,0.003288835712924249,Very High,Infrastructure Expansion
Aldi,52.45462817173175,-1.7922680349750912,U,7568,0.005168082703765549,Low,No Immediate Action
EV South,52.46990715151389,-1.9232459691258408,B4284,11309,0.003969863787101006,Medium,Monitor
EV South,52.46950026246881,-1.922160850612918,B4284,11309,0.005073928032640466,Medium,Monitor
Shackleton Staff Car Park,52.46216262314187,-1.9254880863414856,C,15322,0.0038956327482859293,Medium,Monitor
Chamberlain Tower Car Park,52.46329251727391,-1.923231379360366,C,15322,0.005629928391608605,Medium,Monitor
NCP Henrietta Street,52.48808799967403,-1.8996867805768816,U,496,0.002564114646763926,Low,No Immediate Action
Arts Car Park,52.450934896644576,-1.927784048978552,A38,27942,0.0036677142174553947,High,Redirect Overflow
Visitors Car Park,52.43334783379596,-1.9954669369060687,B4121,16286,0.019094861420332947,Medium,Monitor
Ashley Car Park,52.45115287461582,-1.9273775589799875,A38,27942,0.003858998552798487,High,Redirect Overflow
Caroline Street Car Park,52.48723220000188,-1.908984499919112,A4540,28508,0.006692405607291378,High,Redirect Overflow
One Snowhill Underground Car Park,52.48310800603251,-1.8980734721254675,A4400,16389,0.003204359259034929,Medium,Monitor
